Id,GenderIDDesc,color
962,UNKNOWN,WHITE
963,MALE,BLK-TAN
964,UNKNOWN,BROWN
965,MALE,BROWN
966,FEMALE,BRN-BLACK
967,MALE,TAN
968,UNKNOWN,
969,UNKNOWN,WHITE
970,UNKNOWN,
971,UNKNOWN,
972,UNKNOWN,
973,MALE,GRAY-WHT
974,FEMALE,CALICO
975,FEMALE,BLACK
976,MALE,BLACK
977,UNKNOWN,GOLD
978,FEMALE,BROWN-TAN
979,MALE,BLK-BROWN
980,UNKNOWN,
981,MALE,BLACK-WHT
982,MALE,BRN-WHITE
983,UNKNOWN,
984,UNKNOWN,
985,UNKNOWN,
986,UNKNOWN,BROWN
987,MALE,BLK-BROWN
988,MALE,BLK-WHITE
989,UNKNOWN,
990,UNKNOWN,
991,MALE,BLACK
992,MALE,BROWN
993,MALE,BROWN
994,UNKNOWN,BLACK
995,FEMALE,WHITE
996,MALE,BLK-WHITE
997,UNKNOWN,CALICO
998,MALE,BRN-WHITE
999,MALE,TAN
1000,UNKNOWN,
1001,UNKNOWN,
1002,UNKNOWN,
1003,MALE,BLUE MERLE
1004,MALE,BLK-TAN
1005,UNKNOWN,WHITE
1006,MALE,CREAM
1007,MALE,BLK-WHITE
1008,UNKNOWN,MBLK-WHITE
1009,UNKNOWN,
1010,MALE,GRAY
1011,FEMALE,BLK-WHITE
1012,UNKNOWN,
1013,MALE,BROWN
1014,MALE,BLACK
1015,FEMALE,TRI
1016,MALE,BRN-WHITE
1017,MALE,BLK-WHT
1018,MALE,BLH-WHITE
1019,UNKNOWN,BLACK
1020,FEMALE,BLACK
1021,UNKNOWN,
1022,UNKNOWN,
1023,FEMALE,BLACK
1024,FEMALE,TRI
1025,FEMALE,BRN-WHITE
1026,UNKNOWN,
1027,UNKNOWN,
1028,MALE,BRN-WHITE
1029,MALE,TRI
