Id,SpeciesIDDesc
1545,BAT
1546,BAT
1547,BAT
1548,BAT
1549,BAT
1550,BAT
1551,BAT
1552,BAT
1553,BAT
1554,BAT
1555,BAT
1556,BAT
1557,BAT
1558,CAT
1559,BAT
1560,DOG
1561,BAT
1562,BAT
1563,BAT
1564,BAT
1565,CAT
1566,BAT
1567,BAT
1568,BAT
1569,BAT
1570,DOG
1571,
1572,CAT
1573,
1574,DOG
1575,RACCOON
1576,BAT
1577,BAT
1578,BAT
1579,BAT
1580,BAT
1581,
1582,BAT
1583,BAT
1584,BAT
1585,BAT
1586,BAT
1587,BAT
1588,BAT
1589,RACCOON
1590,BAT
1591,BAT
1592,BAT
1593,BAT
1594,BAT
1595,BAT
1596,BAT
1597,BAT
1598,BAT
1599,BAT
1600,BAT
1601,BAT
1602,BAT
1603,BAT
1604,BAT
1605,BAT
1606,BAT
1607,BAT
1608,BAT
1609,BAT
1610,BAT
1611,BAT
1612,BAT
1613,DOG
1614,BAT
1615,BAT
1616,BAT
1617,BAT
1618,BAT
1619,CAT
1620,BAT
1621,BAT
1622,BAT
1623,BAT
1624,BAT
1625,BAT
1626,BAT
1627,BAT
1628,CAT
1629,OTHER
1630,BAT
1631,BAT
1632,BAT
1633,BAT
1634,BAT
1635,BAT
1636,BAT
1637,RACCOON
1638,BAT
1639,BAT
1640,BAT
1641,DOG
1642,BAT
1643,CAT
1644,DOG
1645,BAT
1646,BAT
1647,CAT
1648,CAT
1649,BAT
1650,BAT
1651,BAT
1652,BAT
1653,BAT
1654,BAT
1655,BAT
1656,BAT
1657,BAT
1658,CAT
1659,DOG
1660,BAT
1661,BAT
1662,BAT
1663,BAT
1664,BAT
1665,BAT
1666,BAT
1667,BAT
1668,BAT
1669,DOG
1670,BAT
1671,BAT
1672,BAT
1673,BAT
1674,BAT
1675,BAT
1676,BAT
1677,BAT
1678,BAT
1679,BAT
1680,BAT
1681,BAT
1682,BAT
1683,BAT
1684,BAT
1685,
1686,BAT
1687,DOG
1688,CAT
1689,CAT
1690,DOG
1691,
1692,DOG
1693,DOG
1694,CAT
1695,DOG
1696,DOG
1697,DOG
1698,CAT
1699,DOG
1700,DOG
1701,DOG
1702,DOG
1703,DOG
1704,DOG
1705,DOG
1706,DOG
1707,DOG
1708,DOG
1709,DOG
1710,CAT
1711,DOG
1712,DOG
1713,DOG
1714,DOG
1715,DOG
1716,DOG
1717,DOG
1718,CAT
1719,DOG
1720,CAT
1721,DOG
1722,DOG
1723,DOG
1724,DOG
1725,CAT
1726,DOG
1727,DOG
1728,DOG
1729,DOG
1730,DOG
1731,DOG
1732,DOG
1733,DOG
1734,DOG
1735,DOG
1736,DOG
1737,DOG
1738,DOG
1739,DOG
1740,DOG
1741,DOG
1742,DOG
1743,DOG
1744,DOG
1745,DOG
1746,DOG
1747,DOG
1748,CAT
1749,DOG
1750,DOG
1751,DOG
1752,DOG
1753,DOG
1754,DOG
1755,DOG
1756,DOG
1757,DOG
1758,DOG
1759,DOG
1760,CAT
1761,DOG
1762,DOG
1763,CAT
1764,CAT
1765,DOG
1766,DOG
1767,DOG
1768,CAT
1769,DOG
1770,CAT
1771,DOG
1772,CAT
1773,DOG
1774,CAT
1775,DOG
1776,DOG
1777,DOG
1778,DOG
1779,CAT
1780,DOG
1781,DOG
1782,DOG
1783,CAT
1784,DOG
1785,DOG
1786,DOG
1787,DOG
1788,DOG
1789,DOG
1790,DOG
1791,DOG
1792,DOG
1793,DOG
1794,DOG
1795,DOG
1796,DOG
1797,DOG
1798,CAT
1799,DOG
1800,CAT
1801,DOG
1802,DOG
1803,DOG
1804,DOG
1805,DOG
1806,DOG
1807,CAT
1808,CAT
1809,CAT
1810,CAT
1811,DOG
1812,DOG
1813,DOG
1814,DOG
1815,DOG
1816,DOG
1817,DOG
1818,DOG
1819,DOG
1820,DOG
1821,DOG
1822,DOG
1823,DOG
1824,DOG
1825,DOG
1826,DOG
1827,DOG
1828,DOG
1829,DOG
1830,DOG
1831,DOG
1832,DOG
1833,DOG
1834,DOG
1835,DOG
1836,DOG
1837,DOG
1838,BAT
1839,DOG
1840,CAT
1841,DOG
1842,DOG
1843,DOG
1844,DOG
1845,CAT
1846,DOG
1847,DOG
1848,DOG
1849,CAT
1850,DOG
1851,DOG
1852,DOG
1853,DOG
1854,DOG
1855,CAT
1856,CAT
1857,BAT
1858,DOG
1859,DOG
1860,CAT
1861,CAT
1862,DOG
1863,DOG
1864,DOG
1865,DOG
1866,DOG
1867,CAT
1868,DOG
1869,DOG
1870,DOG
1871,DOG
1872,DOG
1873,DOG
1874,DOG
1875,DOG
1876,DOG
1877,DOG
1878,CAT
1879,CAT
1880,DOG
1881,DOG
1882,DOG
1883,DOG
1884,DOG
1885,DOG
1886,DOG
1887,CAT
1888,DOG
1889,RACCOON
1890,DOG
1891,DOG
1892,DOG
