Region of Citizenship,Name,Net Worth ($M),Rank,Age,Primary Industry
Brazil,Dulce Pugliese de Godoy Bueno,2,634,64,Health Care
USA,Thomas Frist Jr & family,3.2,358,73,Health Care
USA,Judy Faulkner,1.7,764,68,health IT
Brazil,Edson de Godoy Bueno,2.2,578,68,Health Care
Germany,Bernard Broermann,2.1,601,68,Health Care
India,Malvinder & Shivinder Singh,3.5,314,39,Health Care
USA,William Randolph Hearst III,2.3,546,62,Hearst Corp
USA,Austin Hearst,1.9,683,59,Hearst Corp
USA,David Hearst Jr,1.9,683,66,Hearst Corp
USA,George Hearst Jr,1.9,683,84,Hearst Corp
USA,Phoebe Hearst Cooke,1.9,683,85,Hearst Corp
Germany,Martin Viessmann,1.6,804,58,heating equipment
